x, u_gen, u_spec
0.078708, 0.466123, 0.466123
0.078808, 0.466478, 0.466478
0.078908, 0.466833, 0.466833
0.079008, 0.467187, 0.467187
0.079108, 0.467540, 0.467540
0.079208, 0.467893, 0.467893
0.079308, 0.468246, 0.468246
0.079408, 0.468598, 0.468598
0.079508, 0.468950, 0.468950
0.079608, 0.469302, 0.469302
0.079708, 0.469653, 0.469653
0.079808, 0.470003, 0.470003
0.079908, 0.470353, 0.470353
0.080008, 0.470703, 0.470703
0.080108, 0.471052, 0.471052
0.080208, 0.471400, 0.471400
0.080308, 0.471749, 0.471749
0.080408, 0.472096, 0.472096
0.080508, 0.472444, 0.472444
0.080608, 0.472790, 0.472790
0.080708, 0.473137, 0.473137
0.080808, 0.473483, 0.473483
0.080908, 0.473828, 0.473828
0.081008, 0.474174, 0.474174
0.081108, 0.474518, 0.474518
0.081208, 0.474862, 0.474862
0.081308, 0.475206, 0.475206
0.081408, 0.475549, 0.475549
0.081508, 0.475892, 0.475892
0.081608, 0.476235, 0.476235
0.081708, 0.476577, 0.476577
